lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
0.375,41.5625,36.5,0.0,0,1.36,2026-07-17T16:10:06Z
0.625,41.5625,37.4,0.0,0,0.36,2026-07-17T16:10:06Z
0.875,41.5625,36.0,0.0,0,1.39,2026-07-17T16:10:06Z
1.125,41.5625,33.5,0.0,14,3.51,2026-07-17T16:10:06Z
1.375,41.5625,30.9,0.0,0,5.24,2026-07-17T16:10:06Z
1.625,41.5625,32.3,0.0,3,4.65,2026-07-17T16:10:06Z
1.875,41.5625,33.3,0.0,10,4.51,2026-07-17T16:10:06Z
2.125,41.5625,30.2,0.0,4,4.09,2026-07-17T16:10:06Z
2.375,41.5625,28.8,0.0,11,3.26,2026-07-17T16:10:06Z
2.625,41.625,29.4,0.0,22,2.7,2026-07-17T16:10:06Z
2.875,41.5625,26.7,0.0,0,2.42,2026-07-17T16:10:06Z
3.125,41.5625,26.6,0.0,0,2.69,2026-07-17T16:10:06Z
3.375,41.5625,25.9,0.0,0,1.84,2026-07-17T16:10:06Z
3.625,41.5625,26.3,0.0,0,2.16,2026-07-17T16:10:06Z
3.875,41.5625,26.3,0.0,0,1.75,2026-07-17T16:10:06Z
4.125,41.5625,26.3,0.0,0,1.32,2026-07-17T16:10:06Z
4.375,41.5625,26.1,0.0,0,0.98,2026-07-17T16:10:06Z
4.625,41.5625,26.1,0.0,0,0.98,2026-07-17T16:10:06Z
4.875,41.5625,26.2,0.0,20,1.43,2026-07-17T16:10:06Z
5.125,41.5625,26.3,0.0,7,1.86,2026-07-17T16:10:06Z
5.375,41.5625,26.3,0.0,0,2.08,2026-07-17T16:10:06Z
5.625,41.5625,26.4,0.0,0,2.33,2026-07-17T16:10:06Z
5.875,41.5625,26.4,0.0,6,2.53,2026-07-17T16:10:06Z
6.125,41.5625,26.4,0.0,8,2.72,2026-07-17T16:10:06Z
6.375,41.5625,26.5,0.0,10,3.2,2026-07-17T16:10:06Z
6.625,41.5625,26.8,0.0,10,3.58,2026-07-17T16:10:06Z
6.875,41.5625,27.2,0.0,16,3.73,2026-07-17T16:10:06Z
7.125,41.5625,27.5,0.0,14,3.92,2026-07-17T16:10:06Z
7.375,41.5625,27.8,0.0,11,3.96,2026-07-17T16:10:06Z
7.625,41.5625,28.0,0.0,10,3.83,2026-07-17T16:10:06Z
7.875,41.5625,28.1,0.0,21,3.71,2026-07-17T16:10:06Z
8.125,41.5625,28.0,0.0,38,3.4,2026-07-17T16:10:06Z
8.375,41.5625,28.2,0.0,52,3.49,2026-07-17T16:10:06Z
8.625,41.5625,28.2,0.0,55,3.68,2026-07-17T16:10:06Z
8.875,41.5625,30.1,0.0,25,3.13,2026-07-17T16:10:06Z
9.125,41.625,30.1,0.0,0,2.98,2026-07-17T16:10:06Z
9.3125,41.625,34.1,0.0,0,1.98,2026-07-17T16:10:06Z
9.625,41.5625,29.5,0.0,0,6.29,2026-07-17T16:10:06Z
-5.125,41.8125,29.7,0.0,24,2.92,2026-07-17T16:10:06Z
-4.875,41.8125,29.0,0.0,28,2.65,2026-07-17T16:10:06Z
-4.625,41.8125,30.1,0.0,0,3.3,2026-07-17T16:10:06Z
-4.375,41.8125,30.1,0.0,0,3.93,2026-07-17T16:10:06Z
-4.125,41.8125,29.8,0.0,0,3.26,2026-07-17T16:10:06Z
-3.875,41.8125,30.4,0.0,0,3.44,2026-07-17T16:10:06Z
-3.625,41.8125,29.9,0.0,0,3.69,2026-07-17T16:10:06Z
-3.375,41.8125,29.8,0.0,0,3.2,2026-07-17T16:10:06Z
-3.125,41.8125,29.3,0.0,19,2.12,2026-07-17T16:10:06Z
-2.875,41.8125,28.8,0.0,4,2.4,2026-07-17T16:10:06Z
-2.625,41.8125,30.5,0.0,18,1.1,2026-07-17T16:10:06Z
-2.375,41.8125,31.3,0.0,20,1.8,2026-07-17T16:10:06Z
-2.125,41.8125,30.8,0.0,0,3.61,2026-07-17T16:10:06Z
-1.9375,41.8125,29.5,0.0,0,1.49,2026-07-17T16:10:06Z
-1.625,41.8125,31.4,0.0,2,3.89,2026-07-17T16:10:06Z
-1.375,41.8125,34.5,0.0,25,2.81,2026-07-17T16:10:06Z
-1.125,41.8125,34.8,0.0,0,2.25,2026-07-17T16:10:06Z
-0.875,41.8125,35.5,0.0,0,1.39,2026-07-17T16:10:06Z
-0.625,41.8125,34.8,0.0,0,0.86,2026-07-17T16:10:06Z
-0.375,41.8125,33.9,0.0,0,1.6,2026-07-17T16:10:06Z
-0.125,41.8125,34.5,0.0,0,0.54,2026-07-17T16:10:06Z
0.125,41.8125,35.5,0.0,0,1.33,2026-07-17T16:10:06Z
0.375,41.8125,35.7,0.0,0,2.04,2026-07-17T16:10:06Z
0.625,41.8125,34.6,0.0,0,3.0,2026-07-17T16:10:06Z
0.875,41.8125,35.7,0.0,0,3.1,2026-07-17T16:10:06Z
